[2026-01-15 16:16:42] START Game: BeginningQuiz, LevelButtonNumber: 0, Level: 0
[2026-01-15 16:17:15] Game: BeginningQuiz, LevelButtonNumber: 0, Level: 0, QuestionNumber: 1, questionedBirdSong: 9_Singdrossel_2, questionedBird: Singdrossel, answerPossibilities: answerPossibility1: Spatz, answerPossibility2: Singdrossel, answerPossibility3: Eisvogel, answerPossibility4: Blaumeise, givenAnswer: Singdrossel, wasAnswerCorrect: True, timeNeededForThisAnswer: 32,95
[2026-01-15 16:17:31] Game: BeginningQuiz, LevelButtonNumber: 0, Level: 0, QuestionNumber: 2, questionedBirdSong: 7_Buchfink_1, questionedBird: Buchfink, answerPossibilities: answerPossibility1: Rauchschwalbe, answerPossibility2: Buntspecht, answerPossibility3: Spatz, answerPossibility4: Buchfink, givenAnswer: Buchfink, wasAnswerCorrect: True, timeNeededForThisAnswer: 15,16
[2026-01-15 16:17:45] Game: BeginningQuiz, LevelButtonNumber: 0, Level: 0, QuestionNumber: 3, questionedBirdSong: 6_Rauchschwalbe_1, questionedBird: Rauchschwalbe, answerPossibilities: answerPossibility1: Kohlmeise, answerPossibility2: Amsel, answerPossibility3: Rauchschwalbe, answerPossibility4: Spatz, givenAnswer: Kohlmeise, wasAnswerCorrect: False, timeNeededForThisAnswer: 12,60
[2026-01-15 16:17:57] Game: BeginningQuiz, LevelButtonNumber: 0, Level: 0, QuestionNumber: 4, questionedBirdSong: 2_Rotkehlchen_3, questionedBird: Rotkehlchen, answerPossibilities: answerPossibility1: Rotkehlchen, answerPossibility2: Blaumeise, answerPossibility3: Kohlmeise, answerPossibility4: Spatz, givenAnswer: Rotkehlchen, wasAnswerCorrect: True, timeNeededForThisAnswer: 10,76
[2026-01-15 16:18:08] Game: BeginningQuiz, LevelButtonNumber: 0, Level: 0, QuestionNumber: 5, questionedBirdSong: 8_Buntspecht_3, questionedBird: Buntspecht, answerPossibilities: answerPossibility1: Blaumeise, answerPossibility2: Singdrossel, answerPossibility3: Kohlmeise, answerPossibility4: Buntspecht, givenAnswer: Buntspecht, wasAnswerCorrect: True, timeNeededForThisAnswer: 9,96
[2026-01-15 16:18:20] Game: BeginningQuiz, LevelButtonNumber: 0, Level: 0, QuestionNumber: 6, questionedBirdSong: 3_Blaumeise_2, questionedBird: Blaumeise, answerPossibilities: answerPossibility1: Kohlmeise, answerPossibility2: Buchfink, answerPossibility3: Spatz, answerPossibility4: Blaumeise, givenAnswer: Kohlmeise, wasAnswerCorrect: False, timeNeededForThisAnswer: 10,78
[2026-01-15 16:18:38] Game: BeginningQuiz, LevelButtonNumber: 0, Level: 0, QuestionNumber: 7, questionedBirdSong: 5_Kohlmeise_2, questionedBird: Kohlmeise, answerPossibilities: answerPossibility1: Rotkehlchen, answerPossibility2: Singdrossel, answerPossibility3: Buchfink, answerPossibility4: Kohlmeise, givenAnswer: Rotkehlchen, wasAnswerCorrect: False, timeNeededForThisAnswer: 16,69
[2026-01-15 16:18:45] Game: BeginningQuiz, LevelButtonNumber: 0, Level: 0, QuestionNumber: 8, questionedBirdSong: 1_Amsel_2, questionedBird: Amsel, answerPossibilities: answerPossibility1: Buchfink, answerPossibility2: Buntspecht, answerPossibility3: Amsel, answerPossibility4: Blaumeise, givenAnswer: Buntspecht, wasAnswerCorrect: False, timeNeededForThisAnswer: 6,34
[2026-01-15 16:18:53] Game: BeginningQuiz, LevelButtonNumber: 0, Level: 0, QuestionNumber: 9, questionedBirdSong: 10_Eisvogel_1, questionedBird: Eisvogel, answerPossibilities: answerPossibility1: Rauchschwalbe, answerPossibility2: Eisvogel, answerPossibility3: Blaumeise, answerPossibility4: Rotkehlchen, givenAnswer: Blaumeise, wasAnswerCorrect: False, timeNeededForThisAnswer: 6,71
[2026-01-15 16:19:00] Game: BeginningQuiz, LevelButtonNumber: 0, Level: 0, QuestionNumber: 10, questionedBirdSong: 4_Haussperling_3, questionedBird: Spatz, answerPossibilities: answerPossibility1: Singdrossel, answerPossibility2: Kohlmeise, answerPossibility3: Blaumeise, answerPossibility4: Spatz, givenAnswer: Blaumeise, wasAnswerCorrect: False, timeNeededForThisAnswer: 5,81
[2026-01-15 16:19:01] END Game: BeginningQuiz, LevelButtonNumber: 0, Level: 0, totalTimeNeeded: 137,94, amountOfQuestions: 10, correctAnswers: 4, incorrectAnswers: 6, successrate: 40,00, levelPassed: There is no win in the BeginningQuiz
