[2026-01-16 18:33:25] START Game: BeginningQuiz, LevelButtonNumber: 0, Level: 0
[2026-01-16 18:33:47] Game: BeginningQuiz, LevelButtonNumber: 0, Level: 0, QuestionNumber: 1, questionedBirdSong: 7_Buchfink_1, questionedBird: Buchfink, answerPossibilities: answerPossibility1: Buntspecht, answerPossibility2: Buchfink, answerPossibility3: Blaumeise, answerPossibility4: Singdrossel, givenAnswer: Buntspecht, wasAnswerCorrect: False, timeNeededForThisAnswer: 22,32
[2026-01-16 18:33:58] Game: BeginningQuiz, LevelButtonNumber: 0, Level: 0, QuestionNumber: 2, questionedBirdSong: 9_Singdrossel_2, questionedBird: Singdrossel, answerPossibilities: answerPossibility1: Singdrossel, answerPossibility2: Buntspecht, answerPossibility3: Eisvogel, answerPossibility4: Buchfink, givenAnswer: Eisvogel, wasAnswerCorrect: False, timeNeededForThisAnswer: 9,94
[2026-01-16 18:34:11] Game: BeginningQuiz, LevelButtonNumber: 0, Level: 0, QuestionNumber: 3, questionedBirdSong: 8_Buntspecht_3, questionedBird: Buntspecht, answerPossibilities: answerPossibility1: Amsel, answerPossibility2: Spatz, answerPossibility3: Buntspecht, answerPossibility4: Eisvogel, givenAnswer: Spatz, wasAnswerCorrect: False, timeNeededForThisAnswer: 11,43
[2026-01-16 18:34:26] Game: BeginningQuiz, LevelButtonNumber: 0, Level: 0, QuestionNumber: 4, questionedBirdSong: 4_Haussperling_2, questionedBird: Spatz, answerPossibilities: answerPossibility1: Spatz, answerPossibility2: Amsel, answerPossibility3: Buchfink, answerPossibility4: Blaumeise, givenAnswer: Blaumeise, wasAnswerCorrect: False, timeNeededForThisAnswer: 13,85
[2026-01-16 18:34:37] Game: BeginningQuiz, LevelButtonNumber: 0, Level: 0, QuestionNumber: 5, questionedBirdSong: 10_Eisvogel_1, questionedBird: Eisvogel, answerPossibilities: answerPossibility1: Rotkehlchen, answerPossibility2: Eisvogel, answerPossibility3: Buntspecht, answerPossibility4: Kohlmeise, givenAnswer: Buntspecht, wasAnswerCorrect: False, timeNeededForThisAnswer: 10,23
[2026-01-16 18:34:46] Game: BeginningQuiz, LevelButtonNumber: 0, Level: 0, QuestionNumber: 6, questionedBirdSong: 5_Kohlmeise_3, questionedBird: Kohlmeise, answerPossibilities: answerPossibility1: Spatz, answerPossibility2: Kohlmeise, answerPossibility3: Rauchschwalbe, answerPossibility4: Blaumeise, givenAnswer: Spatz, wasAnswerCorrect: False, timeNeededForThisAnswer: 8,38
[2026-01-16 18:34:57] Game: BeginningQuiz, LevelButtonNumber: 0, Level: 0, QuestionNumber: 7, questionedBirdSong: 2_Rotkehlchen_1, questionedBird: Rotkehlchen, answerPossibilities: answerPossibility1: Buntspecht, answerPossibility2: Rotkehlchen, answerPossibility3: Eisvogel, answerPossibility4: Amsel, givenAnswer: Eisvogel, wasAnswerCorrect: False, timeNeededForThisAnswer: 9,52
[2026-01-16 18:35:03] Game: BeginningQuiz, LevelButtonNumber: 0, Level: 0, QuestionNumber: 8, questionedBirdSong: 3_Blaumeise_2, questionedBird: Blaumeise, answerPossibilities: answerPossibility1: Eisvogel, answerPossibility2: Rauchschwalbe, answerPossibility3: Blaumeise, answerPossibility4: Spatz, givenAnswer: Rauchschwalbe, wasAnswerCorrect: False, timeNeededForThisAnswer: 5,49
[2026-01-16 18:35:11] Game: BeginningQuiz, LevelButtonNumber: 0, Level: 0, QuestionNumber: 9, questionedBirdSong: 6_Rauchschwalbe_2, questionedBird: Rauchschwalbe, answerPossibilities: answerPossibility1: Rotkehlchen, answerPossibility2: Blaumeise, answerPossibility3: Rauchschwalbe, answerPossibility4: Eisvogel, givenAnswer: Rotkehlchen, wasAnswerCorrect: False, timeNeededForThisAnswer: 6,36
[2026-01-16 18:35:18] Game: BeginningQuiz, LevelButtonNumber: 0, Level: 0, QuestionNumber: 10, questionedBirdSong: 1_Amsel_1, questionedBird: Amsel, answerPossibilities: answerPossibility1: Blaumeise, answerPossibility2: Singdrossel, answerPossibility3: Amsel, answerPossibility4: Kohlmeise, givenAnswer: Singdrossel, wasAnswerCorrect: False, timeNeededForThisAnswer: 5,99
[2026-01-16 18:35:19] END Game: BeginningQuiz, LevelButtonNumber: 0, Level: 0, totalTimeNeeded: 113,57, amountOfQuestions: 10, correctAnswers: 0, incorrectAnswers: 10, successrate: 0,00, levelPassed: There is no win in the BeginningQuiz
[2026-01-16 18:35:44] START Game: Memory, LevelButtonNumber: 1, Level: 1
[2026-01-16 18:35:48] During Game: Memory, LevelButtonNumber: 1, Level: level1, Game Move: 1, FoundPair: No pair, Correct: False, movesSinceTheLastPairWasFound: 0, currentTimeFromStopWatch: 4,18, timeSinceTheLastPairWasFound: 4,18
[2026-01-16 18:35:54] During Game: Memory, LevelButtonNumber: 1, Level: level1, Game Move: 2, FoundPair: 1, Correct: True, movesSinceTheLastPairWasFound: 1, currentTimeFromStopWatch: 9,95, timeSinceTheLastPairWasFound: 9,95
[2026-01-16 18:35:57] During Game: Memory, LevelButtonNumber: 1, Level: level1, Game Move: 3, FoundPair: No pair, Correct: False, movesSinceTheLastPairWasFound: 0, currentTimeFromStopWatch: 12,52, timeSinceTheLastPairWasFound: 2,56
[2026-01-16 18:36:00] During Game: Memory, LevelButtonNumber: 1, Level: level1, Game Move: 4, FoundPair: No pair, Correct: False, movesSinceTheLastPairWasFound: 1, currentTimeFromStopWatch: 15,62, timeSinceTheLastPairWasFound: 5,67
[2026-01-16 18:36:02] During Game: Memory, LevelButtonNumber: 1, Level: level1, Game Move: 5, FoundPair: No pair, Correct: False, movesSinceTheLastPairWasFound: 2, currentTimeFromStopWatch: 17,66, timeSinceTheLastPairWasFound: 7,70
[2026-01-16 18:36:06] During Game: Memory, LevelButtonNumber: 1, Level: level1, Game Move: 6, FoundPair: No pair, Correct: False, movesSinceTheLastPairWasFound: 3, currentTimeFromStopWatch: 21,46, timeSinceTheLastPairWasFound: 11,50
[2026-01-16 18:36:09] During Game: Memory, LevelButtonNumber: 1, Level: level1, Game Move: 7, FoundPair: No pair, Correct: False, movesSinceTheLastPairWasFound: 4, currentTimeFromStopWatch: 24,59, timeSinceTheLastPairWasFound: 14,64
[2026-01-16 18:36:11] During Game: Memory, LevelButtonNumber: 1, Level: level1, Game Move: 8, FoundPair: No pair, Correct: False, movesSinceTheLastPairWasFound: 5, currentTimeFromStopWatch: 26,94, timeSinceTheLastPairWasFound: 16,99
[2026-01-16 18:36:13] During Game: Memory, LevelButtonNumber: 1, Level: level1, Game Move: 9, FoundPair: No pair, Correct: False, movesSinceTheLastPairWasFound: 6, currentTimeFromStopWatch: 29,03, timeSinceTheLastPairWasFound: 19,08
[2026-01-16 18:36:15] During Game: Memory, LevelButtonNumber: 1, Level: level1, Game Move: 10, FoundPair: 2, Correct: True, movesSinceTheLastPairWasFound: 7, currentTimeFromStopWatch: 30,93, timeSinceTheLastPairWasFound: 20,98
[2026-01-16 18:36:17] During Game: Memory, LevelButtonNumber: 1, Level: level1, Game Move: 11, FoundPair: 3, Correct: True, movesSinceTheLastPairWasFound: 0, currentTimeFromStopWatch: 32,47, timeSinceTheLastPairWasFound: 1,53
[2026-01-16 18:36:17] END Game: Memory, LevelButtonNumber: 1, Level: 1, CurrentMoveNumber: 11, TimeNeededForTheLevel: 32,47
[2026-01-16 18:36:55] START Game: BirdQuiz, LevelButtonNumber: 2, Level: 2
[2026-01-16 18:37:14] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 1, questionedBirdSong: 8_Buntspecht_3, questionedBird: Buntspecht, answerPossibilities: answerPossibility1: Singdrossel, answerPossibility2: Rauchschwalbe, answerPossibility3: Buntspecht, answerPossibility4: Amsel, givenAnswer: Amsel, wasAnswerCorrect: False, timeNeededForThisAnswer: 19,02
[2026-01-16 18:37:23] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 2, questionedBirdSong: 6_Rauchschwalbe_3, questionedBird: Rauchschwalbe, answerPossibilities: answerPossibility1: Rauchschwalbe, answerPossibility2: Singdrossel, answerPossibility3: Buntspecht, answerPossibility4: Amsel, givenAnswer: Buntspecht, wasAnswerCorrect: False, timeNeededForThisAnswer: 8,24
[2026-01-16 18:37:27] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 3, questionedBirdSong: 1_Amsel_2, questionedBird: Amsel, answerPossibilities: answerPossibility1: Rauchschwalbe, answerPossibility2: Singdrossel, answerPossibility3: Amsel, answerPossibility4: Buntspecht, givenAnswer: Singdrossel, wasAnswerCorrect: False, timeNeededForThisAnswer: 3,25
[2026-01-16 18:37:34] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 4, questionedBirdSong: 9_Singdrossel_2, questionedBird: Singdrossel, answerPossibilities: answerPossibility1: Amsel, answerPossibility2: Rauchschwalbe, answerPossibility3: Singdrossel, answerPossibility4: Buntspecht, givenAnswer: Singdrossel, wasAnswerCorrect: True, timeNeededForThisAnswer: 5,84
[2026-01-16 18:37:34] END Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, totalTimeNeeded: 39,59, amountOfQuestions: 4, correctAnswers: 1, incorrectAnswers: 3, successrate: 25,00, levelPassed: False
[2026-01-16 18:37:40] START Game: BirdQuiz, LevelButtonNumber: 2, Level: 2
[2026-01-16 18:37:43] Game: BirdQuiz, LevelButtonNumber: 2, Level: 2, QuestionNumber: 1, questionedBirdSong: 8_Buntspecht_1, questionedBird: Buntspecht, answerPossibilities: answerPossibility1: Buntspecht, answerPossibility2: Amsel, answerPossibility3: Singdrossel, answerPossibility4: Rauchschwalbe, givenAnswer: Singdrossel, wasAnswerCorrect: False, timeNeededForThisAnswer: 3,49
