bird	pre_acc	pre_n	post_acc	post_n	delta
Amsel	0.4444444444444444	36	0.76	25	0.3155555555555556
Blaumeise	0.19444444444444445	36	0.76	25	0.5655555555555556
Buchfink	0.1388888888888889	36	0.64	25	0.5011111111111111
Buntspecht	0.2777777777777778	36	0.96	25	0.6822222222222222
Eisvogel	0.3055555555555556	36	0.76	25	0.45444444444444443
Kohlmeise	0.4166666666666667	36	0.8	25	0.38333333333333336
Rauchschwalbe	0.3333333333333333	36	0.88	25	0.5466666666666666
Rotkehlchen	0.3333333333333333	36	0.76	25	0.4266666666666667
Singdrossel	0.4722222222222222	36	0.6	25	0.12777777777777777
Spatz	0.5	36	0.76	25	0.26
